logo,empresa,ticker,mercado,comision,minimo,horario,fraccion,ticker.yf,Validado,Nombre,Sector
https://logos.xtb.com/svst_uk.svg,Severstal PJSC - GDR,SVST.UK,London,0 EUR*,10 USD,09:00 - 17:30,Sí,SVST.L,False,False,False
https://logos.xtb.com/svt_uk.svg,Severn Trent PLC,SVT.UK,London,0 EUR*,10 GBP,09:00 - 17:30,Sí,SVT.L,True,Severn Trent PLC,Utilities
https://logos.xtb.com/svv_us.svg,Savers Value Village Inc,SVV.US,NewYork,-,10 USD,-,Sí,SVV,True,"Savers Value Village, Inc.",Consumer Cyclical
https://logos.xtb.com/sw_fr.svg,Sodexo SA,SW.FR,Paris,0 EUR*,10 EUR,09:00 - 17:30,Sí,SW.PA,True,Sodexo S.A.,Industrials
https://logos.xtb.com/sw_us.svg,Smurfit WestRock PLC,SW.US,NewYork,-,10 USD,-,No,SW,True,Smurfit Westrock Plc,Consumer Cyclical
https://logos.xtb.com/swa_de.svg,Schloss Wachenheim AG,SWA.DE,Frankfurt,-,10 EUR,-,No,SWA.DE,True,Schloss Wachenheim AG,Consumer Defensive
https://logos.xtb.com/swbi_us.svg,Smith & Wesson Brands Inc,SWBI.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SWBI,True,"Smith & Wesson Brands, Inc.",Industrials
https://logos.xtb.com/swd_pl.svg,Swissmed Centrum Zdrowia SA,SWD.PL,Warszawa,0 EUR*,10 PLN,09:00 - 16:50,Sí,SWD.WA,False,False,False
https://logos.xtb.com/sweda_se.svg,Swedbank AB,SWEDA.SE,Stockholm,0 EUR*,100 SEK,09:00 - 17:25,Sí,SWEDA.ST,False,False,False
https://logos.xtb.com/swg_pl.svg,Seco/Warwick SA,SWG.PL,Warszawa,0 EUR*,10 PLN,09:00 - 16:50,No,SWG.WA,True,Seco/Warwick S.A.,Industrials
https://logos.xtb.com/swi_us.svg,SolarWinds Corp,SWI.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SWI,False,False,False
https://logos.xtb.com/swim_us.svg,Latham Group Inc,SWIM.US,NewYork,-,10 USD,-,Sí,SWIM,True,"Latham Group, Inc.",Industrials
https://logos.xtb.com/swin_us.svg,Solowin Holdings Ltd,SWIN.US,NewYork,-,10 USD,-,No,SWIN,True,Solowin Holdings,No especificado
https://logos.xtb.com/swir_us.svg,Sierra Wireless Inc,SWIR.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SWIR,False,False,False
https://logos.xtb.com/swk_us.svg,Stanley Black & Decker Inc,SWK.US,NewYork,0 USD,10 USD,15:30 - 22:00,Sí,SWK,True,"Stanley Black & Decker, Inc.",Industrials
https://logos.xtb.com/swkh_us.svg,SWK Holdings Corp,SWKH.US,NewYork,-,10 USD,-,No,SWKH,True,SWK Holdings Corporation,Financial Services
